id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,eng,eng,Cardiol Young,,0.0,0.0,1/14/01,1187-9,{NULL}
498345,18F-flumazenil: a _-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,ENG,The Journal of infectious diseases,Cardiol Young,1469-493X,0.0,0.0,2/15/04,,{NULL}
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,eng,Cardiol Young,1469-493X,0.0,0.0,1/6/12,283-4,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,18F-flumazenil: a _-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,pol,eng,Cardiol Young,,0.0,0.0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{fG. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
803653,Daagnosis and Management of Cutaneous B-cell Lymphoma.,eng,eng,Cardiol Young,1469-493X,0.0,0.0,1/15/10,835-40,"{""Lauren C Pinter-Brown""}"
98234,18F-flumazenil: a _-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,,eng,,,0.0,0.0,1/9/01,185-91,{NULL}
823730,18F-flumazenil: a _-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,eng,eng,,,0.0,0.0,1/1/73,163-7,"{""B N Prichard"",""J W Black""}"
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,eng,eng,,,0.0,0.0,1/1/07,43-49,{NULL}
396821,18F-flumazenil: a _-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,English,Clinical Neuropsychologist,,,0.0,0.0,1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,eng,eng,,,0.0,0.0,1/6/01,158-61,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
