index,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
1,1436,Pub Beer,American Pale Lager,12.0,0.0,20.0,408,Brewery Vivant,CO,OR
2,2265,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,,177,Brewery Vivant,CO,IN
3,2264,Rwse of the Phoenix,American IPA,12.0,0.071,20.0,177,18th Street Brewery,CO,CO
4,2263,Nonstop Hef Hop,American Double / Imperial IPA,12.0,0.0,,177,18th Street Brewery,CO,CO
5,2262,Nonstop Hef Hop,American IPA,12.0,0.0,20.0,177,18th Street Brewery,CO,IN
6,2261,Nonstop Hef Hop,Oatmeal Stout,12.0,0.0,20.0,177,Brewery Vivant,CO,IN
7,2260,Lake Street Express,American Pale Ale (APA),12.0,0.045,,177,Brewery Vivant,CO,CO
8,2259,Nonstop Hef Hop,American Porter,12.0,0.0,20.0,177,18th Street Brewery,CO,IN
9,2258,Nonstop Hef Hop,American Pale Ale (APA),12.0,0.0,,177,18th Street Brewery,CO,CO
10,2131,Cone Crusher,American Double / Imperial IPA,12.0,0.0,20.0,177,Brewery Vivant,CO,IN
11,2099,Sxphomoric Saison,American IPA,12.0,0.0,,177,Brooklyn Center,CO,Iw
12,2098,Nonstop Hef Hop,American IPA,12.0,0.073,20.0,177,Brewery Vivant,CO,IN
13,2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177,Mt. Airy,CO,CO
14,1980,Troll Destroyer,Belgian IPA,12.0,0.0,20.0,177,Brewery Vivant,CO,CO
15,1979,Bmtter Bitch,American Pale Ale (APA),12.0,0.061,20.0,177,Brewery Vivant,CO,CO
16,2318,Ginja Ninja,Cider,12.0,0.0,20.0,154,Brewery Vivant,The Alchemist,OR
17,2170,Cgerried Away,Cider,12.0,0.0,,154,Brewery Vivant,CO,CO
18,2169,Nonstop Hef Hop,American IPA,12.0,0.0,,154,Brewery Vivant,CO,CO
19,1502,BrightCider,Cider,12.0,0.0,,154,Brewery Vivant,CO,CO
20,1593,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,,368,21st Amendment Brewery,CO,CO
21,1592,He Said Belgian-Style Tripel,American IPA,12.0,0.0,,368,21st Amendment Brewery,CO,CO
22,1036,Lower De Boom,American Barleywine,12.0,0.0,20.0,368,Brewery Vivant,CO,CA
23,1024,Fireside Chat,Winter Warmer,12.0,0.079,20.0,368,Brewery Vivant,CO,CO
24,976,Marooned On Hog Island,American Stout,12.0,0.079,,368,Brewery Vivant,CO,CO
25,876,Bvtter American,American IPA,12.0,0.044,20.0,368,Brewery Vivant,CO,Cn
26,802,Hdll or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.0,20.0,368,Brewery Vivant,CO,CO
27,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.0,20.0,368,Brewery Vivant,CO,CA
28,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.0,20.0,368,Brewery Vivant,CO,CA
