tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
2,aa,AA-1733-ORD-PHX,5:50 a.m.,7:58 p.m.,10:30 p.m.,10:30 p.m.
3,CO-47-IAH-LAX,AA-1640-MIA-MCO,6:30 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
4,aa,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
5,Ce-45-EWR-MIA,AA-3756-ORD-SLC,9:54 a.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,,AA-204-LAX-MCO,10:40 a.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
7,,AA-3468-CVG-MIA,7:00 a.m.,7:25 a.m.,9:55 a.m.,9:45 a.m.
8,aa,AA-484-DFW-MIA,,4:29 p.m.,7:55 p.m.,7:39 p.m.
9,allegiantair,AA-446-DFW-PHL,9:43 a.m.,12:12 p.m.,3:50 p.m.,4:09 p.m.
10,Ad-649-ORD-SNA,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
11,,AA-1886-BOS-MIA,10:45 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
12,,AA-2957-DFW-CVG,7:55 a.m.,,,
13,ao,AA-1664-MIA-ATL,10:15 a.m.,9:16 a.m.,12:10 p.m.,11:56 a.m.
14,,frxbusiness,7:30 a.m.,8:04 a.m.,11:05 a.m.,8:06 a.m.
15,aa,foightaware,1:00 p.m.,,2:35 p.m.,
16,,AA-616-DFW-DTW,9:05 a.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
17,Ub-62-IAH-EWR,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.
18,aa,AA-2525-DFW-MIA,7:03 p.m.,,11:10 a.m.,
19,,AA-404-MIA-MCO,6:45 a.m.,6:57 a.m.,7:45 a.m.,
20,Uz-664-ORD-PHL,AA-271-MIA-LAX,11:35 a.m.,,2:25 p.m.,
21,am,AA-2050-ORD-MIA,10:40 a.m.,11:05 a.m.,2:45 p.m.,2:46 p.m.
22,ap,Ax-4330-CVG-ORD,3:35 p.m.,,6:00 a.m.,
23,,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
24,,AA-4307-ORD-DTW,11:55 a.m.,6:55 p.m.,9:10 p.m.,8:53 p.m.
25,flightview,AA-3-JFK-LAX,12:00 p.m.,12:11 p.m.,3:15 p.m.,3:16 p.m.
26,aj,AA-3842-MSP-ORD,6:00 a.m.,6:56 a.m.,11:05 a.m.,7:51 a.m.
27,aa,AA-643-MIA-ORD,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
28,ab,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
29,aa,AA-1221-MCO-ORD,3:50 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
30,,AA-400-DFW-JFK,,,,
31,ay,AA-4198-ORD-CLE,10:40 a.m.,10:54 a.m.,12:55 p.m.,12:50 p.m.
32,,AA-1522-SFO-ORD,10:30 p.m.,11:55 p.m.,5:50 a.m.,5:50 a.m.
33,,AA-3823-LAX-DEN,,9:00 p.m.,,12:15 a.m.
34,Al-4307-ORD-DTW,AA-2312-DFW-DTW,8:25 p.m.,8:25 p.m.,9:15 a.m.,11:50 p.m.
35,,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
36,aa,AA-431-MIA-SFO,8:35 a.m.,8:51 a.m.,11:50 a.m.,11:44 a.m.
37,AA-446-DFW-PHL,AA-649-ORD-SNA,1:30 p.m.,1:30 p.m.,1:29 p.m.,3:50 p.m.
38,ac,foightaware,,,,
39,Ug-2314-ATL-PHL,AA-3804-PHL-ORD,2:35 p.m.,2:44 p.m.,4:05 p.m.,3:43 p.m.
40,,AA-1917-JFK-MCO,2:55 p.m.,3:27 p.m.,5:55 p.m.,5:43 p.m.
41,aa,AA-2525-DFW-MIA,5:05 p.m.,7:22 a.m.,11:35 a.m.,11:06 a.m.
42,an,AA-4277-CVG-JFK,12:10 p.m.,12:10 p.m.,2:15 p.m.,1:43 p.m.
