tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,at,AA-3859-IAH-ORD,7:10 a.m.,7:16 a.m.,9:40 a.m.,9:32 a.m.
2,flightexplorer,AA-1733-ORD-PHX,7:45 p.m.,7:58 p.m.,4:15 p.m.,10:30 p.m.
3,allegiantair,AA-1640-MIA-MCO,2:15 p.m.,6:30 p.m.,7:25 p.m.,7:25 p.m.
4,aa,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,9:25 a.m.,9:28 a.m.
5,,AA-3756-ORD-SLC,12:15 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,AA-204-LAX-MCO,11:25 p.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
7,aa,AA-3468-CVG-MIA,7:00 a.m.,7:25 a.m.,9:00 p.m.,9:45 a.m.
8,,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
9,As-3979-CVG-ORD,CO-1586-IAH-MCO,11:50 a.m.,12:12 p.m.,3:05 p.m.,11:44 a.m.
10,Ao-2312-DFW-DTW,AA-466-IAH-MIA,6:00 a.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
11,AA-4198-ORD-CLE,AA-1886-BOS-MIA,7:23 a.m.,10:55 a.m.,2:20 p.m.,1:40 p.m.
12,allegiantair,AA-2957-DFW-CVG,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
13,,AA-1664-MIA-ATL,10:15 a.m.,10:18 a.m.,12:10 p.m.,11:56 a.m.
14,ae,AA-3979-CVG-ORD,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
15,CO-1561-PHX-IAH,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
16,flytecomm,AA-616-DFW-DTW,1:45 p.m.,10:10 a.m.,12:35 p.m.,1:27 p.m.
17,flylouisville,AA-4344-ORD-DTW,11:45 a.m.,12:13 p.m.,2:00 p.m.,2:10 p.m.
18,foxbusiness,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,11:10 a.m.,11:12 a.m.
19,,AA-404-MIA-MCO,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
20,aa,Ai-271-MIA-LAX,,,,2:27 p.m.
21,AA-643-MIA-ORD,AA-2050-ORD-MIA,,11:05 a.m.,2:30 p.m.,2:46 p.m.
22,wunderground,wlather,3:35 p.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.
23,,AA-1434-DFW-MCO,7:15 a.m.,7:21 a.m.,10:35 a.m.,10:36 a.m.
24,flightstats,AA-4307-ORD-DTW,7:03 p.m.,6:55 p.m.,10:30 p.m.,8:53 p.m.
25,aa,AA-3-JFK-LAX,,12:11 p.m.,3:15 p.m.,3:16 p.m.
26,an,AA-3842-MSP-ORD,6:00 a.m.,6:56 a.m.,7:30 a.m.,7:51 a.m.
27,,AA-643-MIA-ORD,7:10 a.m.,7:30 a.m.,9:35 a.m.,9:31 a.m.
28,aa,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
