ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7@@:55 p.m.
2,airtravelc@@enter,nan,4:55 p.m.,5:08 p.m.,8:05 p.m.,nan
3,allegiantair,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
4,boston,AA-1007-MIA-PHX,4:55 p.$m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
5,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,nan,7:55 p.m.
6,flightaware,AA-1007-MIA-PHX,4:55 p.m.??,$#5:08 p.m.,8:05 p.m.,7:55 p.m.
7,f??lig??htexplorer,nan,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
8,flights,@@AA-1007-MIA%-PHX,4:55 p.m.,5:08 p.m.,8:0??@@5 p.m.,7:55 p.m.
9,flightstats,AA-1007#-MIA-P??HX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
10,flightview,AA-1007-MIA-PHX,4:55 #p@@.m.,5:08 p.m.,8:05 p.m.,nan
11,flylouisville,AA-1007-MIA-PHX,nan,5:08 p.m.,8:05 p.%$m.,nan
12,flytecomm,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,nan,7:55 p.m.
13,foxbusiness,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
14,gofox,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
15,??helloflight,AA-1007-MIA-PHX,#4:5%5 p.m.,5:08 p.m.,nan,7:55 p.m.
16,nan,AA-1007$-MIA-PHX,4:55 p.m.,nan,8:05 p.m.,7:55 p.m.
17,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
18,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08$ p.m.,8:05 p.m.,7:??55 p.m.
19,$pany@@nj,AA-1007-MIA-PHX,nan,5:08 p.m.,8:05 p.m.,7:55 p.m.
20,quicktrip,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05$ p.m#.,nan
21,wunderground,AA-1007-MIA-PHX,4:5%5 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
22,aa,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.#,nan,10:04 a.m.
23,airtravelcenter,AA-1165-JFK-MIA,nan,7:22 a.m.,10:34 a.m.,nan
24,nan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a$.#m.
25,boston,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
26,businesstravellogue,AA-#1165-JFK-MIA,nan,7:22 a.m.,10:34 a.m.,10:04 a.m.
27,flightaware,AA-1%165-JFK#-MIA,6:$59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
28,flightexplorer,AA-1165-JFK-@@MI$A,6:59 $a.m.,%7:22 a.m.,10:34 a.m.,nan
29,flights,AA-1165-JFK-MIA,nan,7:22 a.m.,10:34 a.m.,10:04 a.m.
30,nan,nan,nan,7:22 a.m.,10:%34 a.m.,10:04 %@@a.m.
31,f#lightview$,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,1@@0:3$4 a.m.,10:04 a.m.
32,flylouisville,AA-1165-JFK-MIA,6:59 a.m.,7:2@@2 a.m.??,10:34 a.m.,nan
33,flytecomm,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
34,foxbusiness,AA-1165-JFK-MI$A,6:59 a.m.,nan,10:34 a.m.,10:04 a.m.
35,gofox,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,%10:04 a??.m.
36,helloflight,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:0#4 a.m.
37,m??#ia,nan,6:59 a.m.,nan,nan,10:04 a.m.
38,my@@rateplan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10$:34 a.#m.,10:04 a.m.
39,mytripandmore,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10#:04 @@a.m.
40,orbitz,AA-1165-JFK-M@@IA,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
41,panynj,AA-1165-JFK-MIA,6:59 a.m.,nan,1$0:34 a.m.,10:04 a.m.
42,quicktrip,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,nan,10:04 a.m.
43,nan,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,nan,10:04 a.m.
44,weather,nan,6:59 $a.m.,nan,nan,nan
45,nan,AA-1165-JFK-MIA,6:5@@9 a%.m.,7:22 a.m.,10:34% a.m.,10:04 a.m.
46,wunderground,nan,6:59 a.m.,7:22 a.m.,nan,nan
47,aa,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,nan
48,airtravelcenter,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
49,allegiantair,nan,nan,8:23 p.m.,nan,9:53 p.m.
50,bos#ton,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
51,bus??inesstravellogue,AA-1221-MCO-ORD,8:00 p.m.,nan,nan,9:53 p.m.
52,flightarrival,nan,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
53,nan,AA-1221-MCO-ORD,nan,nan,9:45 p.m.,9:53 p.m.
54,flightexplorer,nan,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
55,flights,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,nan
56,flightstats,AA-1221-MCO-ORD,8:??00 p.m.,@@8:23 p.??m.,9%:45 p.m.,9:5#3 #p.m.
57,flightview,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.????m.,9:45 p.m.,9:53 p.m.
58,flylouisville,AA-1221-MCO-ORD,8:00 p.m.,nan,9:45 p.m.,9:53 p.m.
59,nan,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
60,foxbusiness,AA-1221-M$CO@@-ORD,8:00 p.m.,8:23 p.m.,nan,9:53 p.m.
61,g@@ofox,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,%#9:45 p.m.,nan
62,helloflight,AA-1221-MCO-ORD,nan,8:23 p.m.,9:45@#@ p.m.,nan
63,mco,AA-1221-MCO-ORD,8:??00 $p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
64,myrateplan,AA-1221-MCO-ORD,8:00 p.m.,8:2@@3 p.m.??,9:45 p.m.,9:53 p.m.
65,mytripandmore,nan,nan,8:23 p.m.,9:45 p.m.,9:53 p.m.
66,orbitz,A#A-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 %p.m.??,9:53 p.m.
67,ord??,AA-1221-%MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
68,%$panynj,AA-1221-MCO-ORD,nan,8:23 p.m.,nan,9:53 p.m.
69,quicktrip,nan,nan,8:23 p.m.,%9:$45 p.m.,9:53 p.m.
70,trave$locity,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
71,%usato$day,AA-1221-M??CO-ORD,8:00 p.m.,8:23 @@p.m.$,9:45 p.m.,nan
72,weather,AA-1221-MCO-ORD,8:0#0 p.m.@@,nan,9:45 p.m.,9:53 p.m.
73,@@@@world-flight-tracker,nan,8:00 p.m.,8:23 p.m.,9:45 p.m.,9:53 p.m.
74,wunderground,AA-1221-MCO-ORD,8:00 p.m.,8:23 p.m@@@@.,9:45 @@p.m.,9:53 p.m.
75,nan,AA-1279-DFW-PHX,1$:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
76,airtravelcenter,nan,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
77,allegiantair,AA-1279-DFW-PHX,1:00 p??.m.,nan,nan,$3:30 p.m.
78,boston,AA-1279-DFW-PHX,1@@:00 p$.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
79,businesstrav%el#logue,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:3%5 p.m.,3:30 p.m.
80,dfw,AA-1279-DFW-PHX,1:00 p.m.,nan,2:35 p.m.,3:30 p.m.
81,flightarrival,AA-127??9-DFW??-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
82,flightaware,AA-1279-DFW-PHX,1:00 p.m.,nan,2:35 p.m.,3:30 p.m.
83,flightexplorer,nan,nan,2:04 p.m.,2:35 p.m.,3:30 p.m.
84,nan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m%.,3:3??0 p.m.$
85,flightstats,AA-1279-DFW-PHX,1:00 p.m.,nan,2:35 p.m.,3:30 p.m.
86,flightview,nan,1:00 p.m.,2:04 p.m.,2:35 p.m$.,3:30 p.m.
87,nan,nan,nan,nan,2:3#5 #p.m.,3:30 p@@.m.@@
88,nan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,nan
89,f%??oxbusiness,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
90,gof??ox,AA-1279-D??%FW-PHX,nan,nan,2:35 p.m.,3:30 p.m.
91,nan,nan,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
92,myrateplan,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,nan
93,orbitz,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
94,panynj,nan,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
