index,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1001,2339.0,Little Red Cap,Altbier,12.0,0.3314067986362239,43.0,144,Grimm Brothers Brewhouse,Loveland,CO
1002,1857.0,Supergoose IPA,American IPA,12.0,0.069,67.0,290,Hale's Ales,Seattle,WA
1003,1440.0,Hale's Pale American Ale,American Pale Ale (APA),12.0,0.047,,290,Hale's Ales,Seattle,WA
1004,1753.0,Heyoka IPA,American IPA,16.0,0.07,,327,Half Acre Beer Company,Chicago,IL
1005,1448.0,Guest Lager,American Double / Imperial Pilsner,16.0,0.08,,327,Half Acre Beer Company,Chicago,IL
1006,1134.0,Pony Pilsner,German Pilsener,16.0,0.057,,327,Half Acre Beer Company,Chicago,IL
1007,1066.0,Akari Shogun American Wheat Ale,American Pale Wheat Ale,16.0,0.055,,327,Half Acre Beer Company,Chicago,IL
1008,849.0,Meat Wave,English India Pale Ale (IPA),16.0,0.06,,327,Half Acre Beer Company,Chicago,IL
1009,352.0,Over Ale,American Brown Ale,16.0,0.06,5.120867489637099,327,Half Acre Beer Company,Chicago,IL
1010,149.0,Gossamer Golden Ale,American Blonde Ale,16.0,0.042,,327,Half Acre Beer Company,Chicago,IL
1011,148.0,Daisy Cutter Pale Ale,American Pale Ale (APA),16.0,0.052,,327,Half Acre Beer Company,Chicago,IL
1012,2026.0,Pursuit,American IPA,12.0,0.07,40.0,248,Half Full Brewery,Stamford,CT
1013,1361.0,Half Full Bright Ale,American Blonde Ale,12.0,0.052,18.0,248,Half Full Brewery,Stamford,CT
1014,1016.0,Ora###nge Whe$at,Fruit / Vegetable Beer,12.0,0.046,17.0,476,Hangar 24 Craft Brewery,Redlands,CA
1015,1015.0,Hangar 24 Helles Lager,Munich Helles Lager,12.0,0.043,14.0,476,Hangar 24 Craft Brewery,Redlands,CA
1016,1677.0,The Great Return,American IPA,16.0,0.075,70.0,343,Hardywood Park Craft Brewery,Richmond,VA
1017,1331.0,Hardywood Cream Ale,Cream Ale,12.0,0.044,18.0,343,Hardywood Park Craft Brewery,Richmond,VA
1018,1270.0,Capital Trail Pale Ale,American Pale Ale (APA),12.0,0.056,55.0,343,Hardywood Park Craft Brewery,Richmond,VA
1019,2059.0,UFO Gingerland,Herbed / Spiced Beer,12.0,0.052,15.0,234,Harpoon Brewery,Boston,MA
1020,1653.0,The Long Thaw White IPA,American White IPA,12.0,0.062,45.0,234,Harpoon Brewery,Boston,MA
1021,1558.0,Honey Cider,Cider,12.0,0.048,,234,Harpoon Brewery,Boston,MA
1022,1380.0,Harpoon Summer Beer,Kölsch,12.0,0.05,28.0,234,Harpoon Brewery,Boston,MA
1023,1379.0,Harpoon IPA,American IPA,66.72412622048776,0.059,42.0,234,Harpoon Brewery,Boston,MA
1024,1340.0,UFO Pumpkin,Pumpkin Ale,12.0,0.059,20.0,234,Harpoon Brewery,Boston,MA
1025,1313.0,Harpoon Octoberfest,Märzen / Oktoberfest,12.0,0.055,30.0,234,HarpoonBrewery,Bosto??n%##??%,MA
1026,770.0,Harpoon IPA (2012),American IPA,12.0,0.059,42.0,234,Harpoon Brewery,Boston,MA
1027,769.0,Harpoon Summer Beer (2012),Kölsch,12.0,0.05,28.0,234,Harpoon Brewery,Boston,MA
1028,610.0,UFO White,American Pale Wheat Ale,12.0,0.048,10.0,234,Harpoon Brewery,Boston,MA
1029,192.0,Harpoon Summer Beer (2010),Kölsch,12.0,0.05,28.0,234,Harpoon Brewery,Boston,MA
1030,126.0,Harpoon IPA (2010),American IPA,12.0,0.059,42.0,234,Harpoon Brewery,Boston,MA
1031,506.0,Great Falls Select Pale Ale,American Blonde Ale,12.0,,,535,Harvest Moon Brewing Company,Belt,MT
1032,181.0,Beltian White,Witbier,44.77431261870498,0.048,,535,Harvest Moon Brewing Company,Belt,MT
1033,2183.0,Kaua'i Golden Ale,American Blonde Ale,12.0,0.049,,204,Hawai'i Nui Brewing Co.,Hilo,H####I
1034,2182.0,Sunset Amber,American Pale Ale (APA),58.30957326734695,0.054,,204,Hawai'i Nui Brewing Co.,Hilo,HI
1035,2181.0,Hapa Brown Ale,American Brown Ale,19.2,0.064,,204,Hawai'i Nui Brewing Co.,Hilo,HI
1036,2180.0,Hap%##??a Brown Ale,American Brown Ale,12.0,0.064,,204,Hawai'i Nui Brewing Co.,Hilo,HI
1037,2179.0,Southern Cross,Flanders Red Ale,19.2,0.083,,204,Hrwaizi Nui Brewing Co.,Hilo,HI
1038,1895.0,Groupe G,Belgian IPA,16.0,0.076,65.0,280,Headlands Brewing Company,Mill Valley,CA
1039,1894.0,Pt. Bonita Rustic Lager,American Pale Lager,16.0,0.062,40.0,280,Headlands Brewing Company,Mill Valley,C
1040,1893.0,Hill 88 Double IPA,American Double / Imperial IPA,16.0,0.088,77.0,280,Headlands Brewing Company,MillValley,CA
1041,3617.3546864923155,Loose Cannon,American IPA,70.92665016510878,0.072,45.0,479,Heavy Seas Beer,Halethorpe,MD
1042,989.0,AARGHteborfest!,Märzen / Oktoberfest,12.0,0.06,30.0,479,Heavy Seas Beer,Halethorpe,MD
1043,988.0,Davy Jones Lager,Cream Ale,12.0,0.35644403386860757,,479,Heavy Seas Beer,Halethorpe,MD
1044,1351.0,Grazias,Cream Ale,16.0,0.063,30.0,423,Hess Brewing Company,San Diego,CA
1045,1346.0,Habitus IPA,American IPA,16.0,0.08,86.0,423,Hess Brewing Company,San Diego,CA
1046,904.0,Ex Umbris Rye Imperial Stout,American Double / Imperial Stout,16.0,0.099,85.0,423,Hess Brewing Company,San Diego,CA
1047,2295.0,The Golden One,American Pilsner,36.97567366825125,0.063,21.0,168,High Hops Brewery,Windsor,CO
1048,2294.0,The Power of Zeus,American Pale Ale (APA),12.0,0.07,68.0,168,High Hops Brewery,Windsor,CO
1049,824.0,Tonganoxie Honey Wheat,American Pale Wheat Ale,12.0,0.044,22.0,500,High Noon Saloon And Brewery,Leavenworth,KS
1050,1866.7592594826751,Oregon Trail Unfiltered Raspberry Wheat,Fruit / Vegetable Beer,12.0,0.045,3.150655155421923,5po,High Noon Saloon And Brewery,Leavenworth,KS
1051,96.0,Annie's Amber Ale,American Amber / Red Ael,12.0,0.055,4.972981159449387,500,High Noon Saloon And Brewery,Leavenworth,KS
1052,1615.0,The 12th Can�?American Pale Ale (APA),16,0.045,32.0,362.0,Hilliard's Beer,Seattle,WA,
1053,889.0,Hilliard's Pils,Czech Pilsener,16.0,0.055,34.0,362,H%%illiar#d's Bee??r,Seattle,WA
1054,724.0,Hilliard's Blonde,American Blonde Ale,16.0,0.049,20.0,362,Hilliard's Beer,Seattle,WA
1055,497.0,Hilliard's Amber Ale,American Amber / Red Ale,16.0,0.055,60.0,362,Hilliard's Beer,Seattle,WA
1056,496.0,Hilliard's Saison,Saison / Farmhouse Ale,16.0,0.066,30.0,362,Hilliard's Beer,Seattle,WA
1057,1652.0,White Cap White IPA,American White IPA,16.0,0.042,,d49,Hinterland Brewery,Green Bay,WI
1058,1835.0,Provision,Saison / Farmhouse Ale,12.0,0.042,25.0,297,Hop Farm Brewing Company,Pittsburgh,PA
1059,1834.0,One Nut Brown,American Brown Ale,12.0,0.047,147.5265817546548,297,Hop Farm Brewing Company,Pittsburgh,PA
1060,1833.0,Hop Farm IPA,American IPA,12.0,0.058,45.0,297,Hop Farm Brewing Company,Pittsburgh,PA
1061,2195.0,Double D Blonde,American Blonde Ale,52.729504797716345,0.049,20.0,198,Hop Valley Brewing Company,Springfield,OR
