ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,7224.667522008228,Pub Beer,American Pale Lager,nan,0.05,nan,408,nan,Bend,??OR
2,nan,Devil's Cup,American Pale Ale (APA),12.0,0.066,nan,nan,18th Street Brewery,Gary,IN
3,nan,nan,American IPA,16.0,nan,nan,nan,18th Street Brewery,Gary,IN
4,7765.216771758823,nan,American Double / Imperial IPA,12.0,0.09,nan,nan,nan,nan,IN
5,nan,Sex and Candy,American IPA,16.0,nan,nan,25,Sun King Brewing Company,G@@@@ary,IN
6,nan,Black Exodus,American Pale Ale (APA),12.0,0.077,nan,177,18th Street Brewery,Gary,IN
7,2260.0,Lake Street Express,American Pale Ale (APA),nan,nan,nan,177,18th Street Brewery,Gary,IN
8,2259.0,Foreman,American Porter,12.0,0.065,nan,177,18th Street Brewery,Gary,IN
9,2258.0,Jade,American Pale Ale (APA),nan,0.055,nan,177,18th Street Brewery,Gary,%IN
10,2131.0,Cone Crusher,American Double / Imperial IPA,12.0,0.086,nan,177,18th Street Brewery,Gary,IN
11,2099.0,Sophomoric Saison,Saison / Farmhouse Ale,12.0,nan,nan,177,18th Street Brewery,Gary,IN
12,2098.0,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,nan,177,18th Street Brewery,Gary,IN
13,nan,Garce Selé,nan,12.0,0.069,nan,1038.2767548642523,nan,??G#ary,nan
14,1980.0,?$?Troll Destroyer,Belgian IPA,12.0,nan,nan,177,18th Street Brewery,$G??ary,IN
15,1979.0,Bitter Bit@@ch??,American Pale Ale (APA),12.0,0.061,248.06801775252643,697.50548019116,18th Street Brewery,Gary,##IN
16,nan,Ginja Ninja,American IPA,12.0,0.3260867528157275,nan,154,nan,Corvallis,nan
17,2170.0,nan,nan,nan,0.055,nan,nan,nan,Corvallis,OR
18,2169.0,Rhubarbarian,Cider,12.0,0.06,nan,154,2 Town%s Ciderhouse,Corvallis,OR
19,8326.425136400168,BrightCider,nan,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
20,nan,He Said Baltic-Style Porter,Baltic Porter,12.0,nan,nan,368,21st Amendment Brewery,San ??Francis@@co,CA
21,1592.0,He Said Belgian-Style Tripel,Tripel,nan,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
22,1036.0,Lower De Boom,American Barleywine,8.4,0.099,426.81176920520727,368,21st Amendment Brewery,San Francisco,CA
23,5675.42142105438,Fireside Chat,Winter @@Warm$er,12.0,0.314740490494977,45.0,368,21st Amendment Brewery,San Francisco,CA
24,976.0,Marooned On Hog Island,American Stout,12.0,0.079,nan,368,21st Amendment Brewery,San $Francisco$,CA
25,876.0,Bitter American,American Pale Ale (APA),12.0,0.044,42.0,368,21st Amendment Brewery,San Francisco,CA
26,4526.644872796088,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Bee#r??,12.0,0.049,17.0,1917.1895458092488,21st Amendment Brewery,San Francisco,CA
27,801.0,Hell or High Watermelon Wheat (2009),Fruit / V@@egetable Be%er,nan,0.049,17.0,368,21st Amendment Brewery,San Francisco,nan
28,nan,21st Amendment Watermelon Wheat Beer (2006),American IPA,12.0,0.049,nan,2199.8738086221133,nan,San Francisco,nan
29,3899.9565668459527,21st Amendment IPA (2006),American IPA,63.94528759339588,0.2929858317954366,70.0,368,21st Amendment Brewery,nan,CA
30,3354.884700419844,Brew Free! or Die IPA (2008),American IPA,64.18504482287865,0.3334771969140813,70.0,368,21st Amendment Brewery,San Francisco,CA
31,796.0,Brew Free! or% Die IPA (2009),American IPA,12.0,0.3042128264367942,nan,368,21st Amendment Brewery,San Francisco,CA$
32,531.0,Special Edition: Allies Win The War!,English Strong Ale,12.0,0.306084863609556,52.0,368,21st Amendment Brewery,San Francisco,CA
33,432.0,H??op Cri$sis,American Double / Imperial IPA,68.75004703737955,0.097,94.0,368,21st Amendment Brewery,San Francisco,CA
34,353.0,Bitter American (2011),A%merican Pale Ale (APA@@),12.0,0.044,42.0,368,21st Amendment Brewery,San Francisco,CA
35,nan,Fi??reside Chat (2010),Winter Warmer,12.0,0.079,45.0,368,nan,San Fran$%cisco,CA
36,173.0,Back in B#lack@@,American Black Ale,12.0,0.068,nan,368,21st Amendment Brewery,nan,CA
37,11.0,Monk's Blood,Belgian Dark Ale,69.19461801942383,0.083,35.0,368,21st Amendment Brewery,nan,CA
38,10.0,Brew Free! or Die IPA,American IPA,12.0,0.07,65.0,368,21st Amendment Brewery,San Francisco,CA
39,nan,Hell or High Watermelon Wheat,American IPA,12.0,0.049,nan,nan,nan,San Francisco,nan
40,nan,Bimini Twist,American IPA,12.0,0.07,nan,141,Cigar City Brewing Company,St Petersburg,FL
41,2518.0,Beach Blonde,American Blonde Ale,46.187653686377296,0.05,nan,67,3 Daughters Brewing,St Petersburg,FL
42,2517.0,nan,American Amber / Red Ale,12.0,0.052,nan,nan,nan,St Petersburg,FL
43,2545.0,Passion Fruit Prussia,Berline$r Weissbier,12.0,0.1481421112726998,11.0,243.39709194210235,4 Hands Brewing Company,Saint Louis,MO
44,2544.0,Send Help,American Blonde Ale,12.0,0.045,18.0,60,nan,Saint Louis,MO
45,2324.0,Cast Iron Oatmeal Brown,American Brown Ale,12.0,0.055,nan,nan,4 Hands Brewing Company,Saint Louis,MO
46,nan,nan,American Amber / Red Ale,12.0,0.05,nan,60,nan,Saint Louis,nan
47,2287.0,@@Alter $Ego,American Black Ale,12.0,0.055,nan,60,4 Hands Brewing Company,Saint Louis,MO
48,7949.810266799167,Divide@@d Sk#y,Amer#ic%an IPA,57.86665235067588,0.065,nan,254.03092968797066,4 Hands Brewing Company,Saint Louis,MO
49,2285.0,Resurrected,nan,51.060237059017055,0.065,nan,60,4 Hands Brewing Company,Saint Louis,MO??
50,1870.0,Contact High,American Pale Wheat Ale,12.0,0.05,28.0,60,nan,Saint L%ouis,MO
51,2603.0,Galaxyfest,nan,63.70230106989198,0.065,nan,27,450 North Brewing Company,Columbus,%IN
52,nan,Citra#fest,American IPA,16.0,nan,nan,25,Sun King Brewing Company,Columbus,IN
53,2220.0,nan,American IPA,16.0,0.09,nan,nan,450 North Brewing Company,nan,IN
54,nan,Scarecrow,Americ#an IPA,16.0,nan,nan,25,Sun King Brewing Company,Columbus,IN
55,nan,Ironman,English Strong Ale,16.0,nan,nan,25,Sun King Brewing Company,Columbus,IN
56,nan,H#oney Kol??sch,nan,16.0,nan,nan,25,Sun King Brewing Company,Columbus,IN
57,nan,Copperhead Amber,Belgian Dark Ale,16.0,0.052,18.0,27,450 North Brewing Company,Columbus,IN%
58,nan,Rude Parrot IPA,American IPA,16.0,nan,75.0,1576.943101420407,7 Seas Brewing Company,Gig Harbor,WA
59,866.0,British Pale Ale (2010),En??#glish Pale Ale,nan,0.054,30.0,nan,7 Seas Brewing Company,Gig Harbor,WA
60,198.9428155722188,British Pale Ale,nan,12.0,0.054,nan,481,nan,nan,nan
61,146.92356628005896,Ballz Deep Double IPA,American Double / Imperial$ IPA,16.0,0.084,82.0,481,nan,Gig Harbor,WA
62,nan,nan,American IPA,12.0,nan,nan,nan,nan,Dunedin,FL
63,nan,Colorado Native,American IPA,12.0,0.055,nan,2246.7756931515923,nan,Golden,nan
64,nan,Colorado %Native% (2011),American Amber / Red Lager,12.0,nan,nan,166,Oskar Blues Brewery,Golden,CO
65,516.0,Jockamo IPA,American IPA,12.0,0.065,234.38788758855944,533,Abita Brewing Company,Abita Springs,LA
66,515.0,Purple Haze,nan,12.0,0.042,13.0,533,Abita Brewing Company,Abita Springs,LA
67,nan,Abita?? Amber,American Ambe@@r / Red Lag#er,12.0,0.1624155893565319,73.50594532428066,2254.51318243894,Abita Brewing Company,Abita Springs,LA
68,2540.0,Citra Ass Down,nan,16.0,nan,68.0,62,Against The Grain Brewery,Louisville,KY
69,2539.0,The Brown Note,American Brown Ale,16.0,0.05,20.0,62,Against The Grain Brewery,Louisville,KY
70,nan,nan,American Double / Imperial IPA,16.0,0.08,nan,nan,nan,Louisville,KY
71,13603.50514459533,London Balling,English Barleywine,16.0,0.125,256.5467512789723,1,Against the Grain Brewery,L%o%uisville,KY
72,8596.628252324082,35 K,Milk / Sweet Stout,16.0,0.077,25.0,1,Against the Grain Brewery,Louisville,KY$$
73,2683.0,A Beer,Ameri??can Pa%le Ale (APA),16.0,0.042,42.0,1,Against the Grain Brewery,Louisville,KY
74,2682.0,R%ule??s are Rules,German Pilsener,48.88590313144482,0.05,25.0,5.928883530379278,Against the Grain Brewery,nan,KY
75,14490.712180446955,Flesh Gourd'n,Pumpkin Ale,81.03915310389895,0.066,21.0,1,Against the Grain Brewer#y,Louisville,KY
76,nan,nan,American IPA,16.0,nan,nan,nan,nan,Louisville,#KY
77,2679.0,Bloody Show,Ameri@@can Pilsner#,16.0,0.055,17.0,nan,Against the Grain Brewery,Louisville,KY
78,2678.0,Rico Sauvin,American Double / Imperial IPA,16.0,0.076,68.0,1,Against the Grain Brewery,Louisville,KY
79,nan,Coq de la Marche,Saison / Farmhouse Ale,16.0,0.2145432632614174,38.0,5.977811858448882,Against the Grain Brewery,Louisville,KY
80,2676.0,Kame@@n Knudde$ln,American Wild Ale,16.0,0.065,nan,1,Against the Grain Brewery,Louisville,KY
81,nan,Pile of Face,American IPA,16.0,0.3480679450681208,nan,3.2273970327276458,nan,Louisville,nan
82,2674.0,The Brown Note,English Brown Ale,16.0,nan,117.42045146601656,1,nan,Louisville,KY??
83,1594.0,Maylani's Coconu%t Stout,American IPA,16.0,0.053,nan,367,nan,nan,nan
84,1162.0,Oatmeal PSA,American Pale Ale (APA),nan,0.2565037071468498,35.0,367,Airways Brewing Company,Kent,WA
85,1137.0,Pre Flight Pilsner,Ameri$??can Pilsner,16.0,0.052,33.0,367,Airways Brewing Company,Kent,WA
86,7392.081145785575,P-Town Pilsner,American Pilsner,12.0,0.04,20.0,509.06383500521054,Alameda Brewing,Portland,OR@@
