ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295.0,late repair of injuries of the anal sphincter,eng,journal of personality and social psychology,proceedings of the royal society of medicine,0035-9157 (print) 0035-9157,64.0,12.0,1/1/71,10-may,{a. g. parksj. f. mcpartlin}
2,2542471.186656745,association of bleeding mortality and sex in acute coronary syndromes: the missing triangle.,eng,circulation journal : official journal of the japanese circulation society,j. infect. dis.,1537-6613,-1.0,-1.0,2/15/04,6-jan,@@adam witkow@@skiajay k jainivan casserlydavid e kandzaridavid deatonpaul a sobotkajohn p forankrishna j rocha-singhbarry t katzenpeter balmforth
3,789958.0,duane ??retraction syndrome associated with oculocutaneous alb$inism: an ocular miswiring.,??en??g,j med toxicol,indian j ophthalmol,0301-4738,2.0,32.08892886954206,1/6/12,283-4,robert s hoffmanbrian w cotterbarbara m kirranefermin barruetolewis s nelson
4,169865.0,[noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal dna],pol,nan,j cell sci,nan,84.0,0.0,nan,120-6 st  - bioavailability and tolerability of intranasal diazepam in healthy adult volunteers-,{g. jakielk. gorzelnikj. g. zimowskit. cn  - pubmed da  - aug dp  - nlm et  - 2013/11/07 roszkowskij. bijok}
5,803653.0,diagnosis and management of cutaneous b-cell lymphom??a.,??en??g,dermatologic clinics,dermatol clin,1558-0520,33.0,4.0,1/15/10,835-40,{lauren c pinter-brown}
6,98234.0,pregabalin celecoxib and their combination for treatment of chronic low-back pain,??en??g,j cardiovasc med (hagerstown),world journal for pediatric & congenital heart surgery,1303-6521,10.0,4.0,1/9/01,185-91,{c. l. romanog. mineoc. bonorad. romano}
7,823730.0,a cadaver model to evaluate the accuracy and reproducibility of plain radiograph step and gap measurements for intra-articular fracture of the distal radius.,eng,br med bull,british medical bulletin,0007-1420,29.0,2.0,1/1/73,163-7,{b n prichardj w black}
8,729712.0,long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,english; abstract language:english,american journal of respiratory and critical care medicine,j environ monit,0041-5782 (print) 0041-5782,164.0,1.0,1/2/01,43-49,{st_ber fmutz nwrigge hputensen czinserling jzech svon spiegel t}
9,396821.0,awareness of deficits and on-road driving performance,english,clinical neuro#psychologist,transplantation,1385-4046,0.0,7.0,1/11/01,1158-78,{l. j. rapportj. a. griffenl. a. bieliauskasc. burtr. c. bryer}
10,340222.0,a comparative evaluation of two head and neck immobilization devices using electronic portal imaging,eng,the british journal of radiology,annales francaises d'anesthesie et de reanimation,09663622 (issn),79.0,7.0,1/6/01,158-61,{k. flemingk. donatok. leszczynski}
